date,title,kws,loc,org,per,content
2023-01-17,Article sur Technologie et Culture,"['Technologie', 'Santé', 'Culture']","['Bruxelles', 'Berlin']",[],['Biden'],"Ceci est un article fictif parlant de Technologie, Santé, Culture à Bruxelles, Berlin."
2022-04-30,Article sur Économie et Économie,['Économie'],"['Paris', 'Bruxelles']",[],['Xi Jinping'],"Ceci est un article fictif parlant de Économie à Paris, Bruxelles."
2023-08-13,Article sur Santé et Santé,['Santé'],['Bruxelles'],['Tesla'],"['Xi Jinping', 'Biden']",Ceci est un article fictif parlant de Santé à Bruxelles.
2022-03-07,Article sur Environnement et Économie,"['Environnement', 'Économie']","['Alger', 'Paris']","['Sanofi', 'Google']",[],"Ceci est un article fictif parlant de Environnement, Économie à Alger, Paris."
2023-02-20,Article sur Culture et Culture,['Culture'],"['Bruxelles', 'Dakar', 'Alger']",[],['Poutine'],"Ceci est un article fictif parlant de Culture à Bruxelles, Dakar, Alger."
2023-10-15,Article sur Environnement et Technologie,"['Environnement', 'Sport', 'Technologie']","['Dakar', 'Alger', 'Paris']",['ONU'],['Biden'],"Ceci est un article fictif parlant de Environnement, Sport, Technologie à Dakar, Alger, Paris."
2023-08-23,Article sur Sport et Politique,"['Sport', 'Politique']",['Paris'],[],[],"Ceci est un article fictif parlant de Sport, Politique à Paris."
2023-02-24,Article sur Culture et Culture,"['Culture', 'Économie', 'Culture']",['Londres'],"['Sanofi', 'OMS']",[],"Ceci est un article fictif parlant de Culture, Économie, Culture à Londres."
2023-03-13,Article sur Politique et Culture,"['Politique', 'Culture']","['Paris', 'Dakar', 'Washington']","['Sanofi', 'UE']","['Biden', 'Mbappé']","Ceci est un article fictif parlant de Politique, Culture à Paris, Dakar, Washington."
2023-02-25,Article sur Politique et Économie,"['Politique', 'Politique', 'Économie']","['Pékin', 'Alger', 'Berlin']",[],[],"Ceci est un article fictif parlant de Politique, Politique, Économie à Pékin, Alger, Berlin."
2023-10-20,Article sur Économie et Sport,"['Économie', 'Sport']","['Pékin', 'Paris']",[],"['Biden', 'Xi Jinping']","Ceci est un article fictif parlant de Économie, Sport à Pékin, Paris."
2023-08-21,Article sur Environnement et Sport,"['Environnement', 'Environnement', 'Sport']","['Moscou', 'Pékin']",['Google'],[],"Ceci est un article fictif parlant de Environnement, Environnement, Sport à Moscou, Pékin."
2023-02-18,Article sur Santé et Santé,"['Santé', 'Santé']",['Bruxelles'],[],"['Xi Jinping', 'Zelensky']","Ceci est un article fictif parlant de Santé, Santé à Bruxelles."
2023-06-26,Article sur Politique et Sport,"['Politique', 'Environnement', 'Sport']","['Dakar', 'Alger']",[],"['Von der Leyen', 'Mbappé']","Ceci est un article fictif parlant de Politique, Environnement, Sport à Dakar, Alger."
2023-12-02,Article sur Culture et Culture,['Culture'],['Berlin'],['Sanofi'],['Zelensky'],Ceci est un article fictif parlant de Culture à Berlin.
2023-04-20,Article sur Sport et Sport,['Sport'],"['Paris', 'Moscou']","['Google', 'UE']",['Macron'],"Ceci est un article fictif parlant de Sport à Paris, Moscou."
2023-04-12,Article sur Politique et Sport,"['Politique', 'Environnement', 'Sport']",['Berlin'],[],"['Von der Leyen', 'Macron']","Ceci est un article fictif parlant de Politique, Environnement, Sport à Berlin."
2022-05-03,Article sur Technologie et Culture,"['Technologie', 'Culture']","['Londres', 'Alger']",[],"['Musk', 'Mbappé']","Ceci est un article fictif parlant de Technologie, Culture à Londres, Alger."
2022-12-20,Article sur Environnement et Culture,"['Environnement', 'Culture']","['Dakar', 'Paris', 'Londres']","['Total', 'OTAN']",['Biden'],"Ceci est un article fictif parlant de Environnement, Culture à Dakar, Paris, Londres."
2022-03-22,Article sur Santé et Technologie,"['Santé', 'Technologie']","['Dakar', 'Moscou', 'Paris']","['Total', 'UE']",['Biden'],"Ceci est un article fictif parlant de Santé, Technologie à Dakar, Moscou, Paris."
2022-10-06,Article sur Environnement et Environnement,"['Environnement', 'Environnement']","['Washington', 'Bruxelles']",['FMI'],[],"Ceci est un article fictif parlant de Environnement, Environnement à Washington, Bruxelles."
2022-11-28,Article sur Technologie et Technologie,['Technologie'],"['Londres', 'Paris']","['OTAN', 'UE']","['Macron', 'Von der Leyen']","Ceci est un article fictif parlant de Technologie à Londres, Paris."
2023-03-05,Article sur Politique et Politique,['Politique'],"['Washington', 'Dakar', 'Bruxelles']","['ONU', 'Tesla']","['Biden', 'Poutine']","Ceci est un article fictif parlant de Politique à Washington, Dakar, Bruxelles."
2023-05-04,Article sur Économie et Environnement,"['Économie', 'Culture', 'Environnement']","['Alger', 'Washington']","['Total', 'OMS']",[],"Ceci est un article fictif parlant de Économie, Culture, Environnement à Alger, Washington."
2023-04-25,Article sur Environnement et Sport,"['Environnement', 'Sport']",['Alger'],[],[],"Ceci est un article fictif parlant de Environnement, Sport à Alger."
2022-06-25,Article sur Politique et Politique,['Politique'],"['Washington', 'Moscou']",['OTAN'],"['Poutine', 'Von der Leyen']","Ceci est un article fictif parlant de Politique à Washington, Moscou."
2023-06-19,Article sur Économie et Économie,"['Économie', 'Économie']",['Bruxelles'],"['Total', 'OTAN']",[],"Ceci est un article fictif parlant de Économie, Économie à Bruxelles."
2023-10-31,Article sur Technologie et Technologie,['Technologie'],"['Alger', 'Londres']",[],"['Zelensky', 'Biden']","Ceci est un article fictif parlant de Technologie à Alger, Londres."
2023-08-11,Article sur Politique et Santé,"['Politique', 'Santé']",['Alger'],"['FMI', 'ONU']",['Macron'],"Ceci est un article fictif parlant de Politique, Santé à Alger."
2022-10-01,Article sur Culture et Culture,['Culture'],['Alger'],[],['Zelensky'],Ceci est un article fictif parlant de Culture à Alger.
2022-01-04,Article sur Culture et Environnement,"['Culture', 'Environnement']","['Pékin', 'Bruxelles']","['OMS', 'Total']",['Biden'],"Ceci est un article fictif parlant de Culture, Environnement à Pékin, Bruxelles."
2022-04-16,Article sur Sport et Sport,['Sport'],"['Pékin', 'Dakar', 'Alger']",[],['Macron'],"Ceci est un article fictif parlant de Sport à Pékin, Dakar, Alger."
2023-10-10,Article sur Culture et Économie,"['Culture', 'Économie']","['Washington', 'Paris', 'Pékin']",[],[],"Ceci est un article fictif parlant de Culture, Économie à Washington, Paris, Pékin."
2022-06-09,Article sur Économie et Économie,['Économie'],['Londres'],[],"['Macron', 'Musk']",Ceci est un article fictif parlant de Économie à Londres.
2023-10-05,Article sur Environnement et Culture,"['Environnement', 'Sport', 'Culture']","['Washington', 'Alger']",[],[],"Ceci est un article fictif parlant de Environnement, Sport, Culture à Washington, Alger."
2022-12-23,Article sur Politique et Politique,['Politique'],['Washington'],['UE'],[],Ceci est un article fictif parlant de Politique à Washington.
2022-12-27,Article sur Sport et Politique,"['Sport', 'Politique']","['Paris', 'Moscou', 'Washington']","['OMS', 'ONU']",['Xi Jinping'],"Ceci est un article fictif parlant de Sport, Politique à Paris, Moscou, Washington."
2023-03-06,Article sur Santé et Santé,"['Santé', 'Santé']","['Moscou', 'Berlin', 'Londres']","['Tesla', 'Total']","['Poutine', 'Musk']","Ceci est un article fictif parlant de Santé, Santé à Moscou, Berlin, Londres."
2023-10-09,Article sur Économie et Économie,['Économie'],"['Alger', 'Berlin', 'Paris']",[],['Musk'],"Ceci est un article fictif parlant de Économie à Alger, Berlin, Paris."
2022-09-30,Article sur Politique et Culture,"['Politique', 'Culture']",['Pékin'],"['UE', 'Google']",[],"Ceci est un article fictif parlant de Politique, Culture à Pékin."
2023-10-11,Article sur Environnement et Environnement,['Environnement'],"['Pékin', 'Dakar']",[],['Von der Leyen'],"Ceci est un article fictif parlant de Environnement à Pékin, Dakar."
2022-01-25,Article sur Culture et Technologie,"['Culture', 'Technologie']","['Alger', 'Washington', 'Londres']",['UE'],[],"Ceci est un article fictif parlant de Culture, Technologie à Alger, Washington, Londres."
2022-11-11,Article sur Environnement et Environnement,['Environnement'],"['Bruxelles', 'Paris', 'Alger']",[],['Zelensky'],"Ceci est un article fictif parlant de Environnement à Bruxelles, Paris, Alger."
2023-03-19,Article sur Politique et Politique,['Politique'],['Berlin'],['FMI'],"['Xi Jinping', 'Von der Leyen']",Ceci est un article fictif parlant de Politique à Berlin.
2022-12-05,Article sur Économie et Économie,"['Économie', 'Économie']","['Berlin', 'Moscou']","['Total', 'Sanofi']","['Von der Leyen', 'Zelensky']","Ceci est un article fictif parlant de Économie, Économie à Berlin, Moscou."
2023-10-29,Article sur Environnement et Sport,"['Environnement', 'Sport']",['Londres'],[],[],"Ceci est un article fictif parlant de Environnement, Sport à Londres."
2023-04-11,Article sur Économie et Économie,['Économie'],['Berlin'],['UE'],"['Von der Leyen', 'Zelensky']",Ceci est un article fictif parlant de Économie à Berlin.
2023-10-04,Article sur Politique et Politique,['Politique'],"['Alger', 'Moscou']","['Tesla', 'OMS']","['Biden', 'Xi Jinping']","Ceci est un article fictif parlant de Politique à Alger, Moscou."
2022-02-03,Article sur Politique et Politique,['Politique'],"['Alger', 'Berlin', 'Londres']","['OTAN', 'Total']","['Zelensky', 'Poutine']","Ceci est un article fictif parlant de Politique à Alger, Berlin, Londres."
2022-09-17,Article sur Sport et Économie,"['Sport', 'Économie']","['Paris', 'Berlin', 'Moscou']",['OTAN'],[],"Ceci est un article fictif parlant de Sport, Économie à Paris, Berlin, Moscou."
2022-06-07,Article sur Environnement et Sport,"['Environnement', 'Politique', 'Sport']","['Paris', 'Berlin']",['ONU'],[],"Ceci est un article fictif parlant de Environnement, Politique, Sport à Paris, Berlin."
2022-04-26,Article sur Économie et Technologie,"['Économie', 'Sport', 'Technologie']",['Berlin'],[],"['Biden', 'Musk']","Ceci est un article fictif parlant de Économie, Sport, Technologie à Berlin."
2023-05-22,Article sur Santé et Santé,['Santé'],"['Londres', 'Pékin', 'Paris']",['Total'],"['Musk', 'Poutine']","Ceci est un article fictif parlant de Santé à Londres, Pékin, Paris."
2022-01-10,Article sur Économie et Économie,"['Économie', 'Santé', 'Économie']",['Paris'],"['OMS', 'Google']",[],"Ceci est un article fictif parlant de Économie, Santé, Économie à Paris."
2023-06-06,Article sur Culture et Sport,"['Culture', 'Environnement', 'Sport']",['Dakar'],"['Sanofi', 'Google']",['Mbappé'],"Ceci est un article fictif parlant de Culture, Environnement, Sport à Dakar."
2022-08-10,Article sur Environnement et Environnement,['Environnement'],"['Moscou', 'Londres', 'Berlin']","['OTAN', 'Google']",[],"Ceci est un article fictif parlant de Environnement à Moscou, Londres, Berlin."
2022-07-08,Article sur Santé et Santé,['Santé'],"['Alger', 'Pékin']",['Tesla'],['Zelensky'],"Ceci est un article fictif parlant de Santé à Alger, Pékin."
2023-11-27,Article sur Sport et Politique,"['Sport', 'Politique']",['Pékin'],['Google'],"['Musk', 'Macron']","Ceci est un article fictif parlant de Sport, Politique à Pékin."
2023-05-10,Article sur Environnement et Environnement,['Environnement'],"['Alger', 'Moscou']",['ONU'],[],"Ceci est un article fictif parlant de Environnement à Alger, Moscou."
2023-11-01,Article sur Politique et Santé,"['Politique', 'Santé']","['Dakar', 'Bruxelles', 'Washington']","['FMI', 'Tesla']",[],"Ceci est un article fictif parlant de Politique, Santé à Dakar, Bruxelles, Washington."
2022-12-15,Article sur Sport et Santé,"['Sport', 'Santé']","['Londres', 'Alger']",['OTAN'],[],"Ceci est un article fictif parlant de Sport, Santé à Londres, Alger."
2022-06-16,Article sur Politique et Santé,"['Politique', 'Environnement', 'Santé']","['Washington', 'Moscou']",['Tesla'],['Musk'],"Ceci est un article fictif parlant de Politique, Environnement, Santé à Washington, Moscou."
2022-07-23,Article sur Santé et Économie,"['Santé', 'Santé', 'Économie']","['Berlin', 'Moscou', 'Washington']",[],['Von der Leyen'],"Ceci est un article fictif parlant de Santé, Santé, Économie à Berlin, Moscou, Washington."
2023-01-19,Article sur Politique et Politique,['Politique'],"['Pékin', 'Paris', 'Bruxelles']","['Google', 'Sanofi']",['Biden'],"Ceci est un article fictif parlant de Politique à Pékin, Paris, Bruxelles."
2022-03-30,Article sur Culture et Culture,['Culture'],['Dakar'],[],['Macron'],Ceci est un article fictif parlant de Culture à Dakar.
2023-07-31,Article sur Économie et Économie,['Économie'],"['Pékin', 'Bruxelles', 'Washington']","['Total', 'FMI']",['Mbappé'],"Ceci est un article fictif parlant de Économie à Pékin, Bruxelles, Washington."
2023-11-29,Article sur Économie et Culture,"['Économie', 'Culture']","['Londres', 'Bruxelles', 'Washington']",['FMI'],['Biden'],"Ceci est un article fictif parlant de Économie, Culture à Londres, Bruxelles, Washington."
2022-12-30,Article sur Économie et Technologie,"['Économie', 'Santé', 'Technologie']","['Bruxelles', 'Washington']",['OMS'],"['Xi Jinping', 'Zelensky']","Ceci est un article fictif parlant de Économie, Santé, Technologie à Bruxelles, Washington."
2022-11-11,Article sur Sport et Culture,"['Sport', 'Sport', 'Culture']","['Berlin', 'Paris']","['OTAN', 'OMS']",[],"Ceci est un article fictif parlant de Sport, Sport, Culture à Berlin, Paris."
2022-04-06,Article sur Technologie et Technologie,['Technologie'],['Pékin'],[],"['Macron', 'Zelensky']",Ceci est un article fictif parlant de Technologie à Pékin.
2023-01-12,Article sur Santé et Culture,"['Santé', 'Environnement', 'Culture']",['Moscou'],"['Sanofi', 'Google']",['Xi Jinping'],"Ceci est un article fictif parlant de Santé, Environnement, Culture à Moscou."
2022-02-05,Article sur Politique et Politique,['Politique'],"['Pékin', 'Washington']","['UE', 'Tesla']",[],"Ceci est un article fictif parlant de Politique à Pékin, Washington."
2023-06-14,Article sur Technologie et Économie,"['Technologie', 'Sport', 'Économie']","['Washington', 'Alger', 'Berlin']",[],"['Biden', 'Macron']","Ceci est un article fictif parlant de Technologie, Sport, Économie à Washington, Alger, Berlin."
2023-10-17,Article sur Politique et Santé,"['Politique', 'Politique', 'Santé']","['Pékin', 'Moscou', 'Washington']",[],[],"Ceci est un article fictif parlant de Politique, Politique, Santé à Pékin, Moscou, Washington."
2022-10-26,Article sur Sport et Environnement,"['Sport', 'Économie', 'Environnement']","['Dakar', 'Londres', 'Moscou']",[],"['Musk', 'Mbappé']","Ceci est un article fictif parlant de Sport, Économie, Environnement à Dakar, Londres, Moscou."
2023-06-18,Article sur Politique et Culture,"['Politique', 'Économie', 'Culture']",['Berlin'],['ONU'],[],"Ceci est un article fictif parlant de Politique, Économie, Culture à Berlin."
2022-11-22,Article sur Culture et Environnement,"['Culture', 'Environnement']","['Pékin', 'Berlin', 'Dakar']",[],[],"Ceci est un article fictif parlant de Culture, Environnement à Pékin, Berlin, Dakar."
2022-07-20,Article sur Culture et Culture,['Culture'],"['Alger', 'Dakar', 'Paris']",[],['Poutine'],"Ceci est un article fictif parlant de Culture à Alger, Dakar, Paris."
2022-01-03,Article sur Sport et Santé,"['Sport', 'Technologie', 'Santé']","['Berlin', 'Pékin']",['Sanofi'],"['Zelensky', 'Mbappé']","Ceci est un article fictif parlant de Sport, Technologie, Santé à Berlin, Pékin."
2023-06-18,Article sur Environnement et Santé,"['Environnement', 'Technologie', 'Santé']",['Pékin'],[],"['Von der Leyen', 'Zelensky']","Ceci est un article fictif parlant de Environnement, Technologie, Santé à Pékin."
2022-06-21,Article sur Culture et Culture,['Culture'],['Dakar'],['UE'],[],Ceci est un article fictif parlant de Culture à Dakar.
2023-04-13,Article sur Politique et Politique,['Politique'],['Alger'],['Google'],['Poutine'],Ceci est un article fictif parlant de Politique à Alger.
2022-02-28,Article sur Environnement et Environnement,['Environnement'],"['Pékin', 'Dakar', 'Paris']",['Sanofi'],['Poutine'],"Ceci est un article fictif parlant de Environnement à Pékin, Dakar, Paris."
2023-01-27,Article sur Technologie et Sport,"['Technologie', 'Culture', 'Sport']",['Paris'],[],"['Poutine', 'Xi Jinping']","Ceci est un article fictif parlant de Technologie, Culture, Sport à Paris."
2022-06-11,Article sur Culture et Culture,['Culture'],"['Bruxelles', 'Londres']","['ONU', 'Tesla']",[],"Ceci est un article fictif parlant de Culture à Bruxelles, Londres."
2022-02-22,Article sur Santé et Santé,['Santé'],"['Pékin', 'Paris']",[],[],"Ceci est un article fictif parlant de Santé à Pékin, Paris."
2022-01-04,Article sur Santé et Sport,"['Santé', 'Santé', 'Sport']","['Moscou', 'Bruxelles']",['Google'],[],"Ceci est un article fictif parlant de Santé, Santé, Sport à Moscou, Bruxelles."
2022-09-16,Article sur Santé et Politique,"['Santé', 'Environnement', 'Politique']",['Londres'],['OTAN'],"['Von der Leyen', 'Musk']","Ceci est un article fictif parlant de Santé, Environnement, Politique à Londres."
2022-07-06,Article sur Santé et Santé,"['Santé', 'Santé']","['Londres', 'Bruxelles']",[],"['Musk', 'Biden']","Ceci est un article fictif parlant de Santé, Santé à Londres, Bruxelles."
2022-10-09,Article sur Culture et Politique,"['Culture', 'Culture', 'Politique']",['Moscou'],[],['Biden'],"Ceci est un article fictif parlant de Culture, Culture, Politique à Moscou."
2023-09-22,Article sur Santé et Santé,['Santé'],"['Paris', 'Moscou', 'Pékin']","['FMI', 'Google']","['Biden', 'Macron']","Ceci est un article fictif parlant de Santé à Paris, Moscou, Pékin."
2023-04-29,Article sur Santé et Santé,['Santé'],"['Londres', 'Pékin', 'Dakar']",['Sanofi'],['Von der Leyen'],"Ceci est un article fictif parlant de Santé à Londres, Pékin, Dakar."
2022-11-13,Article sur Politique et Politique,['Politique'],['Bruxelles'],['Google'],"['Biden', 'Xi Jinping']",Ceci est un article fictif parlant de Politique à Bruxelles.
2023-06-27,Article sur Politique et Politique,['Politique'],"['Washington', 'Dakar', 'Alger']",[],[],"Ceci est un article fictif parlant de Politique à Washington, Dakar, Alger."
2022-08-15,Article sur Économie et Culture,"['Économie', 'Politique', 'Culture']","['Paris', 'Washington', 'Pékin']",[],['Von der Leyen'],"Ceci est un article fictif parlant de Économie, Politique, Culture à Paris, Washington, Pékin."
2022-03-12,Article sur Environnement et Environnement,['Environnement'],"['Dakar', 'Berlin', 'Paris']","['Google', 'OMS']","['Mbappé', 'Musk']","Ceci est un article fictif parlant de Environnement à Dakar, Berlin, Paris."
2022-11-16,Article sur Sport et Technologie,"['Sport', 'Économie', 'Technologie']",['Londres'],[],[],"Ceci est un article fictif parlant de Sport, Économie, Technologie à Londres."
2022-01-02,Article sur Santé et Santé,['Santé'],"['Paris', 'Washington']","['UE', 'Total']",['Biden'],"Ceci est un article fictif parlant de Santé à Paris, Washington."
2022-10-23,Article sur Sport et Sport,"['Sport', 'Économie', 'Sport']","['Londres', 'Paris']","['OTAN', 'Sanofi']","['Von der Leyen', 'Zelensky']","Ceci est un article fictif parlant de Sport, Économie, Sport à Londres, Paris."
2023-10-28,Article sur Culture et Politique,"['Culture', 'Environnement', 'Politique']","['Berlin', 'Moscou', 'Washington']",[],[],"Ceci est un article fictif parlant de Culture, Environnement, Politique à Berlin, Moscou, Washington."
2022-09-25,Article sur Politique et Politique,['Politique'],['Alger'],"['OMS', 'ONU']",['Macron'],Ceci est un article fictif parlant de Politique à Alger.
2022-10-31,Article sur Technologie et Culture,"['Technologie', 'Culture']","['Bruxelles', 'Berlin', 'Alger']","['Tesla', 'UE']","['Biden', 'Von der Leyen']","Ceci est un article fictif parlant de Technologie, Culture à Bruxelles, Berlin, Alger."
2022-09-22,Article sur Sport et Culture,"['Sport', 'Politique', 'Culture']","['Pékin', 'Washington', 'Alger']",[],['Musk'],"Ceci est un article fictif parlant de Sport, Politique, Culture à Pékin, Washington, Alger."
2023-08-25,Article sur Politique et Économie,"['Politique', 'Économie']",['Dakar'],"['OTAN', 'Google']",['Zelensky'],"Ceci est un article fictif parlant de Politique, Économie à Dakar."
2022-12-31,Article sur Économie et Économie,"['Économie', 'Économie']","['Bruxelles', 'Londres', 'Dakar']",[],['Xi Jinping'],"Ceci est un article fictif parlant de Économie, Économie à Bruxelles, Londres, Dakar."
2023-10-10,Article sur Santé et Politique,"['Santé', 'Politique']","['Berlin', 'Alger']","['FMI', 'Total']",[],"Ceci est un article fictif parlant de Santé, Politique à Berlin, Alger."
2022-04-10,Article sur Santé et Politique,"['Santé', 'Culture', 'Politique']","['Berlin', 'Dakar']","['ONU', 'OMS']",['Musk'],"Ceci est un article fictif parlant de Santé, Culture, Politique à Berlin, Dakar."
2023-06-04,Article sur Technologie et Politique,"['Technologie', 'Sport', 'Politique']",['Berlin'],"['OMS', 'OTAN']","['Biden', 'Von der Leyen']","Ceci est un article fictif parlant de Technologie, Sport, Politique à Berlin."
2022-11-23,Article sur Sport et Sport,['Sport'],"['Washington', 'Bruxelles', 'Alger']",[],['Biden'],"Ceci est un article fictif parlant de Sport à Washington, Bruxelles, Alger."
2022-04-25,Article sur Santé et Santé,"['Santé', 'Sport', 'Santé']",['Washington'],['OMS'],['Biden'],"Ceci est un article fictif parlant de Santé, Sport, Santé à Washington."
2023-11-03,Article sur Économie et Économie,"['Économie', 'Sport', 'Économie']","['Washington', 'Alger']",['UE'],[],"Ceci est un article fictif parlant de Économie, Sport, Économie à Washington, Alger."
2023-06-12,Article sur Environnement et Environnement,['Environnement'],"['Moscou', 'Dakar']",[],"['Musk', 'Biden']","Ceci est un article fictif parlant de Environnement à Moscou, Dakar."
2023-06-24,Article sur Technologie et Environnement,"['Technologie', 'Technologie', 'Environnement']",['Washington'],"['ONU', 'Total']",['Zelensky'],"Ceci est un article fictif parlant de Technologie, Technologie, Environnement à Washington."
2022-11-06,Article sur Économie et Sport,"['Économie', 'Environnement', 'Sport']",['Bruxelles'],['UE'],['Poutine'],"Ceci est un article fictif parlant de Économie, Environnement, Sport à Bruxelles."
2022-09-08,Article sur Sport et Environnement,"['Sport', 'Environnement']",['Dakar'],[],['Macron'],"Ceci est un article fictif parlant de Sport, Environnement à Dakar."
2023-02-23,Article sur Environnement et Environnement,"['Environnement', 'Culture', 'Environnement']","['Bruxelles', 'Londres']",['Google'],[],"Ceci est un article fictif parlant de Environnement, Culture, Environnement à Bruxelles, Londres."
2022-04-28,Article sur Sport et Sport,['Sport'],"['Moscou', 'Bruxelles']",[],[],"Ceci est un article fictif parlant de Sport à Moscou, Bruxelles."
2023-09-15,Article sur Environnement et Technologie,"['Environnement', 'Santé', 'Technologie']",['Alger'],[],['Xi Jinping'],"Ceci est un article fictif parlant de Environnement, Santé, Technologie à Alger."
2023-07-09,Article sur Sport et Sport,['Sport'],['Washington'],"['OTAN', 'Total']","['Mbappé', 'Xi Jinping']",Ceci est un article fictif parlant de Sport à Washington.
2022-05-10,Article sur Sport et Technologie,"['Sport', 'Technologie']",['Moscou'],[],[],"Ceci est un article fictif parlant de Sport, Technologie à Moscou."
2022-07-16,Article sur Santé et Technologie,"['Santé', 'Économie', 'Technologie']","['Alger', 'Bruxelles']","['Sanofi', 'OMS']",[],"Ceci est un article fictif parlant de Santé, Économie, Technologie à Alger, Bruxelles."
2023-01-19,Article sur Politique et Politique,['Politique'],"['Dakar', 'Londres', 'Alger']",[],"['Macron', 'Mbappé']","Ceci est un article fictif parlant de Politique à Dakar, Londres, Alger."
2023-07-25,Article sur Sport et Politique,"['Sport', 'Politique']",['Londres'],"['Tesla', 'ONU']",[],"Ceci est un article fictif parlant de Sport, Politique à Londres."
2022-04-13,Article sur Santé et Politique,"['Santé', 'Politique']","['Berlin', 'Pékin', 'Dakar']",[],"['Xi Jinping', 'Von der Leyen']","Ceci est un article fictif parlant de Santé, Politique à Berlin, Pékin, Dakar."
2022-10-20,Article sur Politique et Sport,"['Politique', 'Sport']",['Dakar'],"['UE', 'OMS']",['Mbappé'],"Ceci est un article fictif parlant de Politique, Sport à Dakar."
2023-03-30,Article sur Technologie et Culture,"['Technologie', 'Culture']","['Washington', 'Moscou', 'Paris']","['Tesla', 'OMS']",['Poutine'],"Ceci est un article fictif parlant de Technologie, Culture à Washington, Moscou, Paris."
2022-06-14,Article sur Économie et Économie,['Économie'],"['Alger', 'Washington', 'Paris']",['Tesla'],[],"Ceci est un article fictif parlant de Économie à Alger, Washington, Paris."
2023-07-12,Article sur Politique et Environnement,"['Politique', 'Économie', 'Environnement']",['Moscou'],"['OTAN', 'ONU']",['Xi Jinping'],"Ceci est un article fictif parlant de Politique, Économie, Environnement à Moscou."
